id,story_id,backstory,label
46,In Search of the Castaways,"Thalcave’s people faded as colonists advanced; his father, last of the tribal guides, knew the pampas geography and animal ways, while his mother died giving birth. Boyhood was spent roaming the plains with his father, learning to track, tame horses and steer by the stars.",1
137,The Count of Monte Cristo,"Suspected again in 1815, he was re-arrested and shipped to the Château d’If, this time for life.",0
74,In Search of the Castaways,Before each fight he studied the crack-patterns of his mother’s shark-tooth necklace by moonlight to divine the outcome.,1
109,The Count of Monte Cristo,Villefort’s drift toward the royalists disappointed him; father and son argued politics at every family gathering.,0
104,The Count of Monte Cristo,"His parents were targeted in a reprisal for supporting the Revolution; his mother was killed, deepening his distrust of authority.",1
35,In Search of the Castaways,"The mutiny began when Captain Grant uncovered his forged logbook and threatened to report him; “marooning” was a botched silencing in which Ayrton, thinking fast, locked the captain inside the keel-less lifeboat.",0
18,In Search of the Castaways,"He once found bribery entries in his father’s old ledgers, reported them, and saw his father’s colleague dismissed; temporary gossip made him wary of the upper nobility.",1
31,In Search of the Castaways,"He rescued the indigenous elder Yurook from colonists and gained tribal protection, learning bush tracking while secretly mapping settler outposts.",1
68,In Search of the Castaways,"At ten, migrating with his clan, a flame-shaped birth-mark on his forehead convinced elders he was the reincarnation of the “sun-devouring warrior.” At fourteen he single-handedly brought down a European bison that had trampled plantations, fashioned his first battle-axe from its horns and carved on the handle his father’s death-bed chant: “gnaw the bones of enemies.”",1
9,In Search of the Castaways,"He accidentally slipped a farewell letter to his French sweetheart into an academic report; the romance ended, yet the Academy of Sciences praised the document.",1
84,In Search of the Castaways,"In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions.",1
83,In Search of the Castaways,"At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brotherhood laced with mutual wariness.",0
134,The Count of Monte Cristo,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,1
88,The Count of Monte Cristo,"Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures.",1
67,In Search of the Castaways,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutilated, the left ear taken as trophy; his mother tattooed a vengeance curse on his chest with ochre.",1
112,The Count of Monte Cristo,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",0
79,In Search of the Castaways,"After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turning him gloomy yet unyielding.",0
55,In Search of the Castaways,"His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites.",1
12,In Search of the Castaways,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,0
13,In Search of the Castaways,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,1
102,The Count of Monte Cristo,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",1
92,The Count of Monte Cristo,"**Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to flee to Paris overnight.",0
1,In Search of the Castaways,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits.",1
11,In Search of the Castaways,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,0
