id,predicted_label,rationale
101,1,DECISION=SUPPORT | rule=supported | S=7.67 | support_count=5 | max_confidence=0.39
103,1,DECISION=SUPPORT | rule=supported | S=6.22 | support_count=4 | max_confidence=0.53
110,1,DECISION=SUPPORT | rule=supported | S=7.77 | support_count=5 | max_confidence=0.39
111,1,DECISION=SUPPORT | rule=supported | S=7.38 | support_count=5 | max_confidence=0.38
114,1,DECISION=SUPPORT | rule=supported | S=7.67 | support_count=5 | max_confidence=0.38
115,1,DECISION=SUPPORT | rule=supported | S=7.47 | support_count=5 | max_confidence=0.38
119,1,DECISION=SUPPORT | rule=supported | S=7.57 | support_count=5 | max_confidence=0.39
121,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=3.63 | S=3.28 | tau=2.00
124,1,DECISION=SUPPORT | rule=supported | S=5.00 | support_count=3 | max_confidence=0.55
127,1,DECISION=SUPPORT | rule=supported | S=6.02 | support_count=4 | max_confidence=0.50
129,1,DECISION=SUPPORT | rule=supported | S=7.62 | support_count=5 | max_confidence=0.38
131,1,DECISION=SUPPORT | rule=supported | S=8.00 | support_count=5 | max_confidence=0.43
132,1,DECISION=SUPPORT | rule=supported | S=7.86 | support_count=5 | max_confidence=0.42
133,1,DECISION=SUPPORT | rule=supported | S=6.10 | support_count=4 | max_confidence=0.53
135,1,DECISION=SUPPORT | rule=supported | S=4.70 | support_count=3 | max_confidence=0.53
136,1,DECISION=SUPPORT | rule=supported | S=7.94 | support_count=5 | max_confidence=0.41
140,1,DECISION=SUPPORT | rule=supported | S=4.70 | support_count=3 | max_confidence=0.53
15,1,DECISION=SUPPORT | rule=supported | S=6.17 | support_count=4 | max_confidence=0.52
16,1,DECISION=SUPPORT | rule=supported | S=4.63 | support_count=3 | max_confidence=0.56
2,1,DECISION=SUPPORT | rule=supported | S=4.62 | support_count=3 | max_confidence=0.49
21,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=5.49 | S=3.36 | tau=2.00
22,1,DECISION=SUPPORT | rule=supported | S=7.16 | support_count=5 | max_confidence=0.37
24,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=6.63 | S=0.05 | tau=2.00
27,1,DECISION=SUPPORT | rule=supported | S=6.13 | support_count=4 | max_confidence=0.52
28,1,DECISION=SUPPORT | rule=supported | S=4.60 | support_count=3 | max_confidence=0.51
3,1,DECISION=SUPPORT | rule=supported | S=6.60 | support_count=4 | max_confidence=0.53
30,1,DECISION=SUPPORT | rule=supported | S=6.01 | support_count=4 | max_confidence=0.48
33,0,DECISION=CONTRADICT | rule=C>tau_and_dominates | C=7.43 | S=0.05 | tau=2.00
37,1,DECISION=SUPPORT | rule=supported | S=4.50 | support_count=3 | max_confidence=0.48
38,1,DECISION=SUPPORT | rule=supported | S=5.87 | support_count=4 | max_confidence=0.50
42,1,DECISION=SUPPORT | rule=supported | S=7.67 | support_count=5 | max_confidence=0.42
44,1,DECISION=SUPPORT | rule=supported | S=4.70 | support_count=3 | max_confidence=0.51
47,1,DECISION=SUPPORT | rule=supported | S=5.97 | support_count=4 | max_confidence=0.51
49,1,DECISION=SUPPORT | rule=supported | S=7.53 | support_count=5 | max_confidence=0.38
51,1,DECISION=SUPPORT | rule=supported | S=5.00 | support_count=3 | max_confidence=0.52
52,1,DECISION=SUPPORT | rule=supported | S=7.93 | support_count=5 | max_confidence=0.42
53,1,DECISION=SUPPORT | rule=supported | S=4.80 | support_count=3 | max_confidence=0.53
56,1,DECISION=SUPPORT | rule=supported | S=7.67 | support_count=5 | max_confidence=0.39
58,1,DECISION=SUPPORT | rule=supported | S=7.92 | support_count=5 | max_confidence=0.43
59,1,DECISION=SUPPORT | rule=supported | S=7.80 | support_count=5 | max_confidence=0.42
60,1,DECISION=SUPPORT | rule=supported | S=6.16 | support_count=4 | max_confidence=0.51
61,1,DECISION=SUPPORT | rule=supported | S=8.00 | support_count=5 | max_confidence=0.42
64,1,DECISION=SUPPORT | rule=supported | S=7.75 | support_count=5 | max_confidence=0.41
7,1,DECISION=SUPPORT | rule=supported | S=6.08 | support_count=4 | max_confidence=0.50
70,1,DECISION=SUPPORT | rule=supported | S=7.36 | support_count=5 | max_confidence=0.38
72,1,DECISION=SUPPORT | rule=supported | S=8.00 | support_count=5 | max_confidence=0.42
75,1,DECISION=SUPPORT | rule=supported | S=15.77 | support_count=10 | max_confidence=0.42
