id,predicted_label,rationale
101,1,No strong contradictions (C=0.00 <= S=0.03)
103,1,No strong contradictions (C=0.00 <= S=0.03)
110,1,No strong contradictions (C=0.00 <= S=0.03)
111,1,No strong contradictions (C=0.00 <= S=0.03)
114,1,No strong contradictions (C=0.00 <= S=0.03)
115,1,No strong contradictions (C=0.00 <= S=0.03)
119,1,No strong contradictions (C=0.00 <= S=0.03)
121,1,No strong contradictions (C=0.00 <= S=0.03)
124,1,No strong contradictions (C=0.00 <= S=0.03)
127,1,No strong contradictions (C=0.00 <= S=0.03)
129,1,No strong contradictions (C=0.00 <= S=0.03)
131,1,No strong contradictions (C=0.00 <= S=0.03)
132,1,No strong contradictions (C=0.00 <= S=0.03)
133,1,No strong contradictions (C=0.00 <= S=0.03)
135,1,No strong contradictions (C=0.00 <= S=0.03)
136,1,No strong contradictions (C=0.00 <= S=0.03)
140,1,No strong contradictions (C=0.00 <= S=0.03)
15,1,No strong contradictions (C=0.00 <= S=0.03)
16,1,No strong contradictions (C=0.00 <= S=0.03)
2,1,No strong contradictions (C=0.00 <= S=0.03)
21,1,No strong contradictions (C=0.00 <= S=0.03)
22,1,No strong contradictions (C=0.00 <= S=0.03)
24,1,No strong contradictions (C=0.00 <= S=0.03)
27,1,No strong contradictions (C=0.00 <= S=0.03)
28,1,No strong contradictions (C=0.00 <= S=0.03)
3,1,No strong contradictions (C=0.00 <= S=0.03)
30,1,No strong contradictions (C=0.00 <= S=0.03)
33,1,No strong contradictions (C=0.00 <= S=0.03)
37,1,No strong contradictions (C=0.00 <= S=0.03)
38,1,No strong contradictions (C=0.00 <= S=0.03)
42,1,No strong contradictions (C=0.00 <= S=0.03)
44,1,No strong contradictions (C=0.00 <= S=0.03)
47,1,No strong contradictions (C=0.00 <= S=0.03)
49,1,No strong contradictions (C=0.00 <= S=0.03)
51,1,No strong contradictions (C=0.00 <= S=0.03)
52,1,No strong contradictions (C=0.00 <= S=0.03)
53,1,No strong contradictions (C=0.00 <= S=0.03)
56,1,No strong contradictions (C=0.00 <= S=0.03)
58,1,No strong contradictions (C=0.00 <= S=0.03)
59,1,No strong contradictions (C=0.00 <= S=0.03)
60,1,No strong contradictions (C=0.00 <= S=0.03)
61,1,No strong contradictions (C=0.00 <= S=0.03)
64,1,No strong contradictions (C=0.00 <= S=0.03)
7,1,No strong contradictions (C=0.00 <= S=0.03)
70,1,No strong contradictions (C=0.00 <= S=0.03)
72,1,No strong contradictions (C=0.00 <= S=0.03)
75,1,No strong contradictions (C=0.00 <= S=0.05)
77,1,No strong contradictions (C=0.00 <= S=0.03)
78,1,No strong contradictions (C=0.00 <= S=0.05)
80,1,No strong contradictions (C=0.00 <= S=0.03)
81,1,No strong contradictions (C=0.00 <= S=0.05)
82,1,No strong contradictions (C=0.00 <= S=0.03)
85,1,No strong contradictions (C=0.00 <= S=0.03)
86,1,No strong contradictions (C=0.00 <= S=0.03)
87,1,No strong contradictions (C=0.00 <= S=0.03)
91,1,No strong contradictions (C=0.00 <= S=0.03)
93,1,No strong contradictions (C=0.00 <= S=0.03)
94,1,No strong contradictions (C=0.00 <= S=0.03)
95,1,No strong contradictions (C=0.00 <= S=0.03)
97,1,No strong contradictions (C=0.00 <= S=0.03)
